1249001  Jack    87  70  71  92
1249002  Jo      67  77  75  92
1249003  Akira   37  60  71  52
1249004  Kouichi 79  61  82  70
1249005  Georgia 77  60  75  55
1249006  Linus   88  66  75  45
1249007  Lucy    43  79  64  18
1249008  Boss    45  46  75  98
1249009  Mary    99  96  95  99
1249010  Makoto  40  25  37  27
1249011  Hiroshi 70  95  96  68
1249012  Max     34  58  52  45
1249013  Show    99  69  77  60
1249014  Kohei   81  45  46  75
1249015  Yasu    29  37  40  20
1249016  Kazu    95  97  90  95
